"Country or Area";"Year";"Commodity";"Flow";"Trade (USD)";"Weight (kg)";"Quantity Name";"Quantity"
"Chile";"2022";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"5699798.359";"2969000.75";"Weight in kilograms";"2969000.75"
"Chile";"2022";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"177249405.11";"68942303.42";"Weight in kilograms";"68942303.42"
"Chile";"2021";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"102523332";"66286568";"Weight in kilograms";"66286568"
"Chile";"2021";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"4622876.786";"2645681.198";"Weight in kilograms";"2645681.198"
"Chile";"2020";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"3325071.14";"1519006.181";"Weight in kilograms";"1519006.181"
"Chile";"2020";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"84206951.28";"68076504";"Weight in kilograms";"68076504"
"Chile";"2019";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"80592792.83";"59318518";"Weight in kilograms";"59318518"
"Chile";"2019";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"2820572.72";"1764311.124";"Weight in kilograms";"1764311.124"
"Chile";"2018";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"98340379";"57966796";"Weight in kilograms";"57966796"
"Chile";"2018";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"2936234.73";"2650705.152";"Weight in kilograms";"2650705.152"
"Chile";"2017";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"126851870";"80448631";"Weight in kilograms";"80448631"
"Chile";"2017";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"4423963.706";"4130307.9";"Weight in kilograms";"4130307.9"
"Chile";"2016";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"103381151";"75169679";"Weight in kilograms";"75169679"
"Chile";"2016";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"4493180.29";"5247535.78";"Weight in kilograms";"5247535.78"
"Chile";"2015";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"96461402.55";"66891099.8";"Weight in kilograms";"66891099.8"
"Chile";"2015";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"7096184.78";"6968233.249";"Weight in kilograms";"6968233.249"
"Chile";"2014";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"134187802.51";"71350411.5";"Weight in kilograms";"71350411.5"
"Chile";"2014";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"7983750.62";"5815484.936";"Weight in kilograms";"5815484.936"
"Chile";"2013";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"129257942.04";"76424834.5";"Weight in kilograms";"76424834.5"
"Chile";"2013";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"3818488.92";"3455716.069";"Weight in kilograms";"3455716.069"
"Chile";"2012";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Export";"85362829.163";"65532388.33";"Weight in kilograms";"65532388.33"
"Chile";"2012";"Seaweeds and other algae; not fit for human consumption, fresh, chilled, frozen or dried, whether or not ground";"Import";"3754272.528";"4384767.818";"Weight in kilograms";"4384767.818"

